m_ID,S,S_LowHigh,C,C_category,ratio,NODF,P_Ce,NODFst,N_LowHigh,nSpecA
358,90,0,0.31283,1,3.0909,5.7762,0,0.26,1,0
359,89,0,0.30936,1,3.0455,6.0403,0,0.27,1,1
360,89,0,0.2924,1,3.0455,4.9704,0,0.24,1,1
361,89,0,0.29986,1,3.0455,5.3224,0,0.25,1,3
362,89,0,0.29308,1,3.0455,5.1025,0,0.23,1,3
363,89,0,0.3175,1,3.0455,5.8743,0,0.25,1,2
364,89,0,0.29376,1,3.0455,5.1746,0,0.24,1,3
365,89,0,0.29579,1,3.0455,5.4373,0,0.26,1,1
366,89,0,0.29783,1,3.0455,5.773,0,0.27,1,3
367,89,0,0.30326,1,3.0455,5.1395,0,0.24,1,1
368,89,0,0.29308,1,3.0455,5.4937,0,0.27,1,0
369,89,0,0.3019,1,3.0455,5.1866,0,0.24,1,0
370,89,0,0.31479,1,3.0455,5.2003,0,0.23,1,0
371,89,0,0.29851,1,3.0455,5.8234,0,0.27,1,2
372,89,0,0.30122,1,3.0455,5.44,0,0.26,1,1
373,89,0,0.2924,1,3.0455,5.2362,0,0.25,1,0
374,89,0,0.2924,1,3.0455,5.1692,0,0.24,1,0
375,89,0,0.3114,1,3.0455,5.331,0,0.25,1,1
376,89,0,0.29647,1,3.0455,5.0745,0,0.24,1,3
377,89,0,0.3114,1,3.0455,5.8914,0,0.27,1,0
378,89,0,0.29986,1,3.0455,5.4245,0,0.25,1,3
379,89,0,0.32497,1,3.0455,5.4509,0,0.24,1,1
380,89,0,0.29647,1,3.0455,5.2947,0,0.25,1,0
381,89,0,0.29172,1,3.0455,5.1476,0,0.24,1,3
382,89,0,0.31275,1,3.0455,5.5719,0,0.25,1,2
383,89,0,0.30529,1,3.0455,5.277,0,0.25,1,1
384,89,0,0.29172,1,3.0455,5.2443,0,0.24,1,2
385,89,0,0.29783,1,3.0455,5.4544,0,0.26,1,2
386,89,0,0.30054,1,3.0455,5.4176,0,0.25,1,1
387,89,0,0.29579,1,3.0455,5.186,0,0.25,1,1
388,89,0,0.2924,1,3.0455,4.8804,0,0.23,1,1
389,89,0,0.29579,1,3.0455,5.2024,0,0.24,1,2
390,89,0,0.29512,1,3.0455,4.9059,0,0.24,1,2
391,89,0,0.31818,1,3.0455,5.3964,0,0.24,1,2
392,89,0,0.31208,1,3.0455,5.9976,0,0.26,1,3
393,89,0,0.29715,1,3.0455,5.4264,0,0.25,1,0
394,89,0,0.30733,1,3.0455,4.937,0,0.23,1,0
395,89,0,0.29919,1,3.0455,5.2487,0,0.25,1,0
396,88,0,0.29408,1,3,5.763,0,0.26,1,2
397,88,0,0.29683,1,3,4.8112,0,0.23,1,4
398,88,0,0.29614,1,3,4.9196,0,0.23,1,0
